time,prcp(mm/hour),pet(mm/hour),flow(m^3/s)
10/6/2012 0:00,0.07,0.75,11.39898148
10/6/2012 1:00,0,0.75,15.39154321
10/6/2012 2:00,0,0.75,19.48055556
10/6/2012 3:00,0,0.75,19.96280864
10/6/2012 4:00,0,0.75,20.44506173
10/6/2012 5:00,0,0.76,20.92731481
10/6/2012 6:00,0,0.76,21.4095679
10/6/2012 7:00,0,0.77,21.89182099
10/6/2012 8:00,0,0.01,22.37407407
10/6/2012 9:00,0,0.02,22.85632716
10/6/2012 10:00,0,0.04,23.33858025
10/6/2012 11:00,0.16,0.07,23.82083333
10/6/2012 12:00,0.08,0.1,24.30308642
10/6/2012 13:00,0.85,0.13,24.78533951
10/6/2012 14:00,1.94,0.14,25.26759259
10/6/2012 15:00,0.29,0.15,25.74984568
10/6/2012 16:00,2.35,0.16,26.23209877
10/6/2012 17:00,4.53,0.16,26.71435185
10/6/2012 18:00,6.94,0.17,27.19660494
10/6/2012 19:00,4.91,0.17,27.67885802
10/6/2012 20:00,2.34,0.17,28.16111111
10/6/2012 21:00,0.32,0.17,28.6433642
10/6/2012 22:00,0.02,0.17,29.12561728
10/6/2012 23:00,0,0.17,29.60787037
11/6/2012 0:00,0,0.17,30.09012346
11/6/2012 1:00,0,0.17,30.57237654
11/6/2012 2:00,0.05,0.17,31.05462963
11/6/2012 3:00,0.16,0.17,31.53688272
11/6/2012 4:00,0.03,0.17,32.0191358
11/6/2012 5:00,0,0.17,32.50138889
11/6/2012 6:00,0,0.18,32.98364198
11/6/2012 7:00,0.03,0.21,33.17009259
11/6/2012 8:00,0.01,0.06,33.06074074
11/6/2012 9:00,0.01,0.13,32.65558642
11/6/2012 10:00,0,0.23,31.95462963
11/6/2012 11:00,0.07,0.33,30.95787037
11/6/2012 12:00,0,0.44,29.96111111
11/6/2012 13:00,0,0.55,28.96435185
11/6/2012 14:00,0,0.64,27.96759259
11/6/2012 15:00,0,0.71,26.97083333
11/6/2012 16:00,0,0.77,25.97407407
11/6/2012 17:00,0,0.8,24.97731481
11/6/2012 18:00,0,0.82,23.98055556
11/6/2012 19:00,0,0.83,22.9837963
11/6/2012 20:00,0,0.85,21.98703704
11/6/2012 21:00,0,0.85,20.99027778
11/6/2012 22:00,0,0.86,19.99351852
11/6/2012 23:00,0,0.87,18.99675926
12/6/2012 0:00,0,0.88,18
12/6/2012 1:00,0,0.88,17.00324074
12/6/2012 2:00,0,0.88,16.00648148
12/6/2012 3:00,0,0.89,15.00972222
12/6/2012 4:00,0,0.89,14.01296296
12/6/2012 5:00,0,0.89,13.0162037
