time,prcp(mm/day),pet(mm/day),flow(m^3/s)
2012-06-10,24.8,8.040000000000001,23.615133744583332
2012-06-11,0.36,11.15,28.179346707916665
2012-06-12,1.59,14.88,11.562596452500001
2012-06-13,0.03,9.65,12.457285238333334
2012-06-14,69.97,4.0600000000000005,53.52123397291667
2012-06-15,19.61,2.5300000000000002,249.59257245
2012-06-16,2.36,7.28,219.13093022916667
2012-06-17,0.05,13.14,55.757026914166666
2012-06-18,15.68,12.77,121.46215920583334
2012-06-19,0.0,11.790000000000001,235.25379372083333
2012-06-20,0.01,11.49,148.56880144166666
2012-06-21,1.9700000000000002,10.860000000000001,95.60133745
2012-06-22,4.41,9.48,100.64490097791666
2012-06-23,8.93,11.08,75.56004505166666
2012-06-24,0.0,14.38,54.22071217166667
2012-06-25,0.04,12.96,69.97787598208333
2012-06-26,0.0,13.719999999999999,64.30592206791667
2012-06-27,0.5,14.18,25.105715137083333
2012-06-28,0.0,12.51,20.82215909125
2012-06-29,37.59,5.2299999999999995,57.19510030875
2012-06-30,0.59,8.15,153.41503985833333
2012-07-01,0.07,14.63,69.99542823916667
2012-07-02,4.430000000000001,13.61,53.298302469166664
2012-07-03,0.27,12.57,43.675649434583335
2012-07-04,0.03,14.09,32.26026234541667
2012-07-05,0.0,13.95,23.117547579999997
2012-07-06,0.0,13.42,20.614936984166665
2012-07-07,8.23,12.98,14.5379179525
2012-07-08,0.0,13.65,14.0
2012-07-09,0.0,12.89,29.36619084333333
2012-07-10,73.57,6.48,112.46909079416666
2012-07-11,4.26,5.25,358.34427726250004
2012-07-12,1.4100000000000001,9.74,173.09053369583333
2012-07-13,0.19,11.26,104.33905092541666
2012-07-14,1.0,10.65,68.63575102916667
2012-07-15,3.45,8.31,48.90436599791667
2012-07-16,0.01,9.65,50.71603009291667
2012-07-17,0.0,10.45,39.523739712499996
2012-07-18,0.62,7.36,52.40391589541667
2012-07-19,0.0,8.27,40.62890303541666
2012-07-20,0.8400000000000001,11.52,25.5183063275
2012-07-21,0.0,10.75,33.25949329916667
2012-07-22,9.41,5.2,50.93510697833333
2012-07-23,0.01,9.99,35.48454104666667
2012-07-24,3.24,10.86,21.739827674583335
2012-07-25,35.480000000000004,6.09,63.07376543208333
2012-07-26,0.09,7.470000000000001,92.35054655666666
2012-07-27,37.04,6.0,209.80126661666668
2012-07-28,8.67,7.2,371.52041975416665
2012-07-29,83.13,7.0200000000000005,1305.3742083083332
2012-07-30,0.0,10.6,374.12621252083335
2012-07-31,3.65,6.88,157.47707645416668
2012-08-01,1.12,2.09,122.50868056666667
2012-08-02,0.12,6.94,139.13394098333333
2012-08-03,169.56,4.5,1197.1317129416666
2012-08-04,51.83,3.04,2657.2006172916667
2012-08-05,1.58,3.7600000000000002,791.7648855666666
2012-08-06,0.02,9.73,133.8188014425
2012-08-07,0.21000000000000002,12.06,153.0514885625
2012-08-08,0.04,12.01,123.057151075
2012-08-09,3.57,7.33,90.96111727499999
2012-08-10,0.03,10.6,56.42219190958334
2012-08-11,0.0,12.94,36.18664480458333
2012-08-12,1.88,10.01,79.04756944458333
2012-08-13,0.07,15.0,51.258564815
2012-08-14,12.08,12.49,26.261779835833334
2012-08-15,2.77,10.17,32.430600562916666
2012-08-16,0.030000000000000002,12.78,33.17407407
2012-08-17,0.06,13.19,30.742714761666665
2012-08-18,1.74,9.93,24.774832818333334
2012-08-19,7.19,8.53,29.999241254583335
2012-08-20,0.01,11.700000000000001,54.36978524166667
2012-08-21,0.0,9.53,347.6997749541667
2012-08-22,0.0,11.780000000000001,44.42664608916667
2012-08-23,0.030000000000000002,14.82,18.42516718166667
2012-08-24,0.0,12.44,13.200758745416666
2012-08-25,0.0,10.629999999999999,20.856526492083336
2012-08-26,0.0,10.26,19.30840603
2012-08-27,0.0,8.88,33.46249043458334
2012-08-28,45.28,5.85,54.91577037666667
2012-08-29,7.83,9.74,97.49641871749999
2012-08-30,0.01,10.91,77.21854272541667
2012-08-31,0.0,11.88,51.28916538083333
2012-09-01,0.0,12.68,24.604494595833334
2012-09-02,0.0,12.2,19.942714761666668
2012-09-03,18.29,6.67,18.837551440416664
2012-09-04,17.169999999999998,5.45,40.86044238708333
2012-09-05,0.04,12.17,34.6916216575
2012-09-06,0.0,14.81,31.516788838333337
2012-09-07,6.81,8.55,25.548906892916666
2012-09-08,0.5,5.5,28.34195601875
2012-09-09,0.01,9.0,12.286947016250002
2012-09-10,0.11,11.33,10.800000000000002
2012-09-11,0.0,9.49,13.294380143749999
2012-09-12,11.02,5.56,19.921116254583335
2012-09-13,0.09999999999999999,9.42,13.304411007916668
