time,pet(mm/month),prcp(mm/month),flow(m^3/s)
2012-06-01,219.33,188.49,89.33093753212302
2012-07-01,308.79,279.1,131.9542795244758
2012-08-01,305.52,307.06,214.24503426939515
2012-09-01,305.04,100.27,16.874797453636113
2012-10-01,264.61,87.12,17.44899442467473
2012-11-01,124.04,7.6899999999999995,44.36141595831667
2012-12-01,62.63,5.1,13.455676069260752
2013-01-01,44.86,0.0,9.270963803573924
2013-02-01,101.26,0.0,10.547359149084821
2013-03-01,241.98,0.0,10.796442891932795
2013-04-01,342.85,19.8,8.2866592721
2013-05-01,416.1,10.64,7.162772032352151
2013-06-01,351.46,129.73,10.388260245331944
2013-07-01,314.09,412.69,184.98965966350806
2013-08-01,345.97,152.67000000000002,88.47401810740593
2013-09-01,325.34,31.99,12.286728394898612
2013-10-01,259.02,47.83,8.071096757392473
2013-11-01,146.44,3.64,4.544415938055556
2013-12-01,95.88,0.0,2.1845353362553763
2014-01-01,115.15,0.0,5.911766560430108
2014-02-01,161.5,0.0,3.378266920188988
2014-03-01,277.1,0.0,6.138816499064516
2014-04-01,384.9,9.77,4.605636252523611
2014-05-01,429.71,66.65,4.380237372219086
2014-06-01,363.93,88.56,33.570014896304166
2014-07-01,392.7,86.53,7.497525512737902
2014-08-01,396.51,67.89,7.739242333745968
2014-09-01,358.19,43.25,47.416911285081945
2014-10-01,298.82,21.22,8.336798177346774
2014-11-01,165.38,0.22,6.372069401634723
2014-12-01,107.19,0.0,5.8873366562862905
2015-01-01,101.41,2.87,4.906363148119624
2015-02-01,134.47,0.0,7.409033748675595
2015-03-01,273.71,3.95,6.116784689159947
2015-04-01,367.32,29.169999999999998,7.4555555557
2015-05-01,503.52,55.99,7.384643609973118
2015-06-01,353.49,96.07,8.277686685722221
2015-07-01,378.67,100.62,9.530320340575269
2015-08-01,332.62,209.94,56.4486557064785
2015-09-01,353.86,19.19,9.63028990932639
2015-10-01,293.08,33.22,5.816001261192205
2015-11-01,124.75,0.0,3.9464906979722225
2015-12-01,82.55,0.0,8.92062031245699
2016-01-01,99.8,0.0,7.768097039776882
2016-02-01,144.2,0.0,7.985923087935345
2016-03-01,292.8,0.0,8.676753327297043
2016-04-01,391.34,25.94,8.345445387579167
2016-05-01,429.16,159.47,24.619993071478493
2016-06-01,397.63,52.19,10.1419753088625
2016-07-01,342.28,103.33,14.793652097540324
2016-08-01,346.63,0.0,40.71745656581049
2016-09-01,267.02,0.0,22.070224192879166
2016-10-01,259.09,0.0,5.359849163799731
2016-11-01,138.53,0.0,8.498375557309721
2016-12-01,88.11,0.0,11.2
2017-01-01,98.35000000000001,0.0,8.770719874330645
2017-02-01,147.84,0.0,8.008905836669644
2017-03-01,287.69,0.0,7.232713145479839
2017-04-01,415.34,12.61,10.649405432290278
2017-05-01,513.38,28.11,8.297444878045699
2017-06-01,477.41,29.87,6.473812714376389
2017-07-01,398.11,95.12,9.784109667474462
2017-08-01,314.77,328.27,69.20781532031317
2017-09-01,336.86,51.21,21.75881537123611
2017-10-01,258.95,83.23,16.625772317329304
2017-11-01,183.62,5.67,10.267848722676389
2017-12-01,113.11,0.0,7.798920250892473
2018-01-01,105.93,0.0,5.465419861030914
2018-02-01,154.12,0.0,4.165302349742559
2018-03-01,279.26,0.0,174.4054754900121
2018-04-01,369.23,13.53,6.516115183469444
2018-05-01,429.48,53.76,7.414634649176075
2018-06-01,393.21,37.42,5.744332039909723
2018-07-01,306.92,79.3,12.356645758627689
2018-08-01,333.94,358.66,174.40556569228224
2018-09-01,332.13,59.08,14.356115182797224
2018-10-01,296.07,39.2,12.978082478735216
2018-11-01,133.55,0.23,9.682237654520833
2018-12-01,113.59,0.38,7.1309388690672035
2019-01-01,138.67000000000002,0.0,3.7507609363548386
2019-02-01,158.31,0.03,6.126250643058036
