time,pet(mm/year),prcp(mm/year),flow(m^3/s)
2012-01-01,1589.96,974.83,75.13785172417154
2013-01-01,2985.25,808.99,30.136827720687673
2014-01-01,3451.08,384.09,11.715544781639384
2015-01-01,3299.45,551.02,11.396106004194978
2016-01-01,3196.59,340.93,14.236290224551457
2017-01-01,3545.43,634.09,15.501337506065639
2018-01-01,3247.43,641.5600000000001,36.77932086131667
2019-01-01,3480.79,601.67,13.500907223454794
2020-01-01,3207.46,985.0,30.79733076257969
2021-01-01,2999.38,1074.62,36.7373823436355
2022-01-01,2336.50828559,547.49,25.426871143615394
