time,prcp(mm/h),pet(mm/h),flow(m^3/s)
1979-12-31 15:00:00,3.2883,0.468,
1980-01-01 00:00:00,1.9525,0.1502,
1980-01-01 09:00:00,0.0673,0.146,
1980-01-01 18:00:00,0.0005,0.1243,
1980-01-02 03:00:00,0.0004,0.014,
1980-01-02 12:00:00,0.0004,2.1207,
1980-01-02 21:00:00,0.1308,0.208,
1980-01-03 06:00:00,0.0593,0.2756,
1980-01-03 15:00:00,0.001,1.7973,
1980-01-04 00:00:00,0.0586,0.1629,
1980-01-04 09:00:00,0.0463,0.308,
1980-01-04 18:00:00,2.7557,0.2518,
1980-01-05 03:00:00,5.4472,0.2468,
1980-01-05 12:00:00,0.7631,0.1655,
1980-01-05 21:00:00,0.1451,0.0074,
1980-01-06 06:00:00,0.0076,0.0235,
1980-01-06 15:00:00,0.001,1.8459,
1980-01-07 00:00:00,0.0,0.0043,
1980-01-07 09:00:00,0.0,0.0327,
1980-01-07 18:00:00,0.0,0.8703,
1980-01-08 03:00:00,0.5667,0.0249,
1980-01-08 12:00:00,1.3655,0.8116,
1980-01-08 21:00:00,0.7387,0.0635,
1980-01-09 06:00:00,0.7589,0.1988,
1980-01-09 15:00:00,3.5604,0.3665,
1980-01-10 00:00:00,2.7893,0.2134,
1980-01-10 09:00:00,0.0099,0.1034,
1980-01-10 18:00:00,0.0,0.7233,
1980-01-11 03:00:00,0.136,0.4241,
1980-01-11 12:00:00,3.1208,0.8408,
1980-01-11 21:00:00,12.9153,0.5132,
1980-01-12 06:00:00,16.3017,0.0413,
1980-01-12 15:00:00,8.3048,0.3893,
1980-01-13 00:00:00,17.6592,0.044,
1980-01-13 09:00:00,14.9756,0.186,
1980-01-13 18:00:00,13.5548,0.1536,
1980-01-14 03:00:00,1.4644,0.259,
1980-01-14 12:00:00,9.8001,0.4257,
1980-01-14 21:00:00,0.0008,0.1709,
1980-01-15 06:00:00,0.0,0.4751,
1980-01-15 15:00:00,0.6887,2.0188,
1980-01-16 00:00:00,3.4104,0.3886,
1980-01-16 09:00:00,8.0361,0.2329,
1980-01-16 18:00:00,0.5797,0.0607,
1980-01-17 03:00:00,0.0135,0.0173,
1980-01-17 12:00:00,0.0375,2.3984,
1980-01-17 21:00:00,0.0,1.294,
1980-01-18 06:00:00,0.0,1.0171,
1980-01-18 15:00:00,0.0,4.9639,
1980-01-19 00:00:00,0.0004,0.8007,
1980-01-19 09:00:00,0.0004,1.275,
1980-01-19 18:00:00,0.0,1.1259,
1980-01-20 03:00:00,0.0,0.3141,
1980-01-20 12:00:00,0.0,2.6893,
1980-01-20 21:00:00,0.0,0.4647,
1980-01-21 06:00:00,0.0004,0.4215,
1980-01-21 15:00:00,0.0,3.4144,
1980-01-22 00:00:00,0.0,1.2307,
1980-01-22 09:00:00,0.0,1.6254,
1980-01-22 18:00:00,0.0,2.3095,
1980-01-23 03:00:00,0.0,1.7965,
1980-01-23 12:00:00,0.0004,2.6353,
1980-01-23 21:00:00,0.0,0.4644,
1980-01-24 06:00:00,0.0,0.8859,
1980-01-24 15:00:00,0.0004,4.1512,
1980-01-25 00:00:00,0.0004,0.7369,
1980-01-25 09:00:00,0.0,0.6191,
1980-01-25 18:00:00,0.0,2.6068,
1980-01-26 03:00:00,0.0007,0.3323,
1980-01-26 12:00:00,0.0004,3.3901,
1980-01-26 21:00:00,0.0027,0.3571,
1980-01-27 06:00:00,0.0001,0.1986,
1980-01-27 15:00:00,0.0,4.033,
1980-01-28 00:00:00,0.0,0.2238,
1980-01-28 09:00:00,0.0,0.1748,
1980-01-28 18:00:00,0.0,2.2205,
1980-01-29 03:00:00,0.0,0.6733,
1980-01-29 12:00:00,0.0,4.721,
1980-01-29 21:00:00,0.0,0.1675,
1980-01-30 06:00:00,0.0,0.0112,
1980-01-30 15:00:00,0.0,4.2315,
1980-01-31 00:00:00,0.0008,0.0068,
1980-01-31 09:00:00,0.3467,0.2473,
1980-01-31 18:00:00,2.9489,0.7241,
1980-02-01 03:00:00,1.6618,0.4158,
1980-02-01 12:00:00,0.1823,0.6118,
1980-02-01 21:00:00,1.8312,0.2076,
1980-02-02 06:00:00,0.0074,0.0812,
1980-02-02 15:00:00,6.9744,0.6077,
