time,prcp(mm/month),pet(mm/month),flow(m^3/s)
1980-01-01,389.3565,241.3496,309.3527329224609
1980-02-01,279.2299,179.94299999999998,159.22636561116857
1980-03-01,234.85490000000001,332.925,205.97959748081078
1980-04-01,180.7019,481.551,122.02216264004518
1980-05-01,56.1537,557.1502,43.17101630836344
1980-06-01,33.0956,637.0903,22.690765272786667
1980-07-01,1.2419,1058.7164,13.579246948568459
1980-08-01,0.2974,1163.6793,8.402375815682436
1980-09-01,11.4306,790.1714,6.873531622577777
1980-10-01,100.59599999999999,508.0616,9.290439218023655
1980-11-01,202.8364,195.6729,48.480655807371846
1980-12-01,370.8281,168.3484,227.61986801495627
1981-01-01,205.7196,208.65709999999999,106.65887876413404
1981-02-01,180.0926,238.8647,168.25776479455158
1981-03-01,264.7636,346.3331,119.50978595131828
1981-04-01,54.7736,471.0736,84.66478235044518
1981-05-01,61.0232,617.3087,41.39762762657706
1981-06-01,51.9411,783.5768,33.60749531255926
1981-07-01,1.6227,1203.0342,14.757551007372042
1981-08-01,1.3674,889.4619,9.07321507628172
1981-09-01,66.79090000000001,752.7421,9.23041355618963
1981-10-01,212.5842,337.6847,64.92172433062007
1981-11-01,452.70439999999996,178.0379,291.568647250917
1981-12-01,638.0142000000001,135.5676,607.3422702469111
1982-01-01,265.2248,151.5968,219.10431658648818
1982-02-01,371.799,185.7706,360.94933388541267
1982-03-01,272.7902,304.3855,180.21389364531683
1982-04-01,336.4741,432.8213,338.53652248982667
1982-05-01,1.5159,1043.5743,84.48011140569176
1982-06-01,74.5161,723.5494,28.764522633425184
1982-07-01,2.2258,888.6143,14.785844908789963
1982-08-01,3.0477,841.9463,9.349765139605733
1982-09-01,37.1055,725.8071,7.675192142872592
1982-10-01,248.9012,407.98199999999997,39.17153653040358
1982-11-01,281.9797,195.0862,118.80137360710962
1982-12-01,473.4862,175.4086,383.31846573295985
1983-01-01,311.937,180.507,227.34605607097131
1983-02-01,566.0282,176.7651,433.69497369675867
1983-03-01,487.5775,222.7327,327.1870174537713
1983-04-01,170.3138,454.50169999999997,156.07858784553775
1983-05-01,68.3921,669.5006,94.93060055813692
1983-06-01,25.2039,799.0898,32.64833207745407
1983-07-01,53.49419999999999,726.8491,31.723851687448743
1983-08-01,137.41989999999998,728.068,17.145191148107525
1983-09-01,14.5397,670.6932,14.356325240432591
1983-10-01,45.2497,398.7179,10.027906049009319
1983-11-01,538.7245,154.2671,313.5718707227459
1983-12-01,455.2121,110.74680000000001,438.518953384696
1984-01-01,63.036300000000004,239.4762,94.20043537239857
1984-02-01,335.2434,216.89520000000002,228.16591826201838
1984-03-01,259.5396,351.0697,219.84360882997132
1984-04-01,192.6088,460.0722,142.44092768608223
1984-05-01,106.9751,642.0604,121.86456865464945
1984-06-01,59.2518,826.3087,57.38286011381259
1984-07-01,1.952,1275.7246,18.106271068726166
1984-08-01,0.9174,888.3167,11.03918482516559
1984-09-01,18.7772,819.2739,8.426866771413334
1984-10-01,216.2943,327.0351,25.28014396947455
1984-11-01,626.5956,166.1793,379.3740525819007
1984-12-01,130.9587,141.157,127.22215567221362
1985-01-01,22.3889,237.409,46.219455936219354
1985-02-01,198.5263,285.7045,137.8115065914365
