time,prcp(mm/year),pet(mm/year),flow(m^3/s)
1980-01-01,1860.6229,6314.6591,98.24817388246497
1981-01-01,2191.3975,6162.3424,129.1968498943847
1982-01-01,2369.0662,6076.5424,147.2960318559329
1983-01-01,2874.0926,5292.439,173.14076604660474
1984-01-01,2012.1502,6353.569,118.55136684252834
1985-01-01,1111.5141,6555.509,57.43134733356261
1986-01-01,2041.5719,6234.9111,122.85793087610996
1987-01-01,1610.5702,7079.555,84.00831217143627
1988-01-01,1511.2434,6512.4528,76.0885608877771
1989-01-01,1283.4105,6097.8402,79.53865103018276
1990-01-01,1495.7154,6020.8166,67.3943662054481
1991-01-01,1339.6022,6646.019,60.81506531010953
1992-01-01,1695.3437000000001,6465.9069,58.78266606593983
1993-01-01,1897.5179,6158.6958,110.3500112904336
1994-01-01,1458.7583,6400.7091,62.62944076559744
1995-01-01,2475.967,6135.5095,142.87133088290722
1996-01-01,2967.5709,6546.3159,175.27298458186095
1997-01-01,1666.0674,5762.7954,97.64046858887038
1998-01-01,2485.8233,5757.3563,144.7891922474784
1999-01-01,1881.2149,6459.3365,111.71773070225191
2000-01-01,1592.299,6203.2841,86.35746882674486
2001-01-01,1419.5813,6290.536,59.992371698395125
2002-01-01,1750.8645,7313.6322,87.21358477985504
2003-01-01,1743.5576,6216.0961,105.22610214182033
2004-01-01,1597.5906,6317.7255,87.51574072574905
2005-01-01,2050.9631,5755.4174,116.10731622959622
2006-01-01,2221.2348,6762.8163,145.9325759116792
2007-01-01,1591.9738,6026.7883,85.32704050016426
2008-01-01,1589.1048,6727.0026,93.01689447633528
2009-01-01,1329.5452,6433.9186,77.13010366109874
2010-01-01,2248.4187,5678.0049,135.2674031955385
2011-01-01,1612.2569,5871.3182,95.50664336751245
2012-01-01,2487.2787,5870.8083,143.97127210786005
2013-01-01,839.798,6459.265,46.99578156173509
2014-01-01,1985.8046,6810.796,96.70374668329127
2015-01-01,1523.2974,6988.1355,83.18740146472797
2016-01-01,2121.2461,6713.7461,132.78018399810716
2017-01-01,2368.2824,6411.5723,146.86798002334598
2018-01-01,1418.8866,7026.6186,72.32510165362167
2019-01-01,1868.5098,6462.4008,94.19837990972444
2020-01-01,1329.3597,6923.2831,62.95377456072781
2021-01-01,1713.7634,7036.0135,84.93511183755616
2022-01-01,1349.1874,6034.6233,70.28530520532834
2023-01-01,1743.716247059,6064.6609,96.90746276564242
