P,ET,modeled_Q,obs_Q
14.1,0.46,4.101,2.808
3.7,0.46,4.572,4.951
7.1,0.47,4.21,4.519
9.3,0.47,4.413,4.386
7.1,0.48,4.695,5.350
1.2,0.48,4.346,4.652
11.7,0.49,4.217,3.888
26.2,0.49,6.477,6.247
33.6,0.5,12.05,10.966
51.1,0.5,22.464,14.821
4.1,0.54,23.833,9.172
2.7,0.55,12.181,7.244
0.2,0.56,7.964,5.815
0,0.56,5.847,4.885
0,0.56,4.698,4.320
3.6,0.56,4.252,3.888
0.1,0.56,4.082,3.855
16.5,0.56,4.936,3.655
0.2,0.55,6.521,5.417
0,0.55,4.993,3.655
0.2,0.49,4.098,3.157
0.5,0.48,3.579,3.041
0,0.48,3.208,2.874
0,0.47,2.925,2.742
0,0.47,2.703,2.559
0,0.47,2.525,2.459
0,0.48,2.378,2.343
0,0.48,2.255,2.260
0,0.49,2.149,2.160
3.6,0.49,2.224,2.077
0,0.5,2.393,2.127
0,0.53,2.204,2.044
0,0.54,2.078,1.911
0,0.55,1.988,1.778
0,0.57,1.908,1.678
0,0.58,1.837,1.625
0,0.59,1.774,1.559
3.6,0.6,1.851,1.446
1.9,0.61,2.07,1.376
5.6,0.63,2.263,1.376
1,0.64,2.525,1.376
0,0.64,2.29,1.376
5.8,0.66,2.381,1.382
0,0.67,2.661,1.811
0,0.69,2.37,1.794
11.3,0.71,2.759,3.174
10.2,0.73,4.189,4.818
0,0.75,4.527,3.788
0,0.77,3.657,2.658
0,0.8,3.146,2.243
0,0.82,2.816,2.077
6,0.87,2.86,2.260
6,0.89,3.404,2.675
0,0.91,3.461,2.941
0.2,0.94,2.963,2.226
0,0.96,2.649,2.027
0,0.99,2.428,1.961
0,1.01,2.249,1.944
0,1.03,2.101,1.911
0,1.05,1.977,1.794
0.6,1.08,1.87,1.761
0,1.1,1.779,1.794
1,1.12,1.699,1.711
0.9,1.14,1.629,1.695
2.1,1.17,1.603,1.745
10,1.19,1.96,1.761
13.8,1.21,3.14,3.489
0.4,1.23,3.838,3.755
4.2,1.25,3.305,2.426
0.6,1.26,3.132,2.426
0,1.28,2.75,2.243
0,1.31,2.476,2.044
0,1.33,2.273,1.844
1.4,1.35,2.11,1.828
18.6,1.38,2.839,2.908
0.4,1.41,4.144,4.154
6.5,1.43,3.656,3.007
0.1,1.46,3.589,3.356
3.7,1.49,3.195,2.874
0,1.54,3.009,3.107
0.9,1.57,2.661,2.941
0,1.6,2.408,2.625
0,1.62,2.215,2.492
0,1.65,2.055,2.310
0,1.67,1.921,2.160
0,1.7,1.805,2.127
0,1.72,1.705,1.977
0,1.74,1.617,1.878
0,1.76,1.539,1.745
0,1.78,1.469,1.662
0,1.76,1.405,1.622
4,1.78,1.415,1.678
5.2,1.8,1.581,2.010
9.9,1.83,1.943,2.492
0.4,1.86,2.255,2.758
6,1.89,2.112,2.160
0,1.92,2.183,2.310
0,1.95,1.954,1.811
0,1.99,1.798,1.645
0,2.02,1.683,1.529
0,2.09,1.583,1.432
1.2,2.13,1.496,1.409
0,2.17,1.42,1.386
0,2.2,1.351,1.352
