date,prcp(mm/day),petpt(mm/day),petfao56(mm/day),streamflow(ft3/s)
1990-01-01,0.02,-0.13,0.8,430.0
1990-01-02,0.0,-0.05,0.55,425.0
1990-01-03,0.0,-0.02,0.57,420.0
1990-01-04,2.91,0.09,0.64,410.0
1990-01-05,0.0,0.15,0.34,405.0
1990-01-06,3.44,0.08,0.43,400.0
1990-01-07,3.8,0.02,0.58,385.0
1990-01-08,0.0,-0.08,0.74,375.0
1990-01-09,3.46,0.08,0.6,365.0
1990-01-10,2.85,0.14,0.56,350.0
1990-01-11,5.23,0.1,0.42,345.0
1990-01-12,3.96,0.12,0.43,355.0
1990-01-13,0.0,0.13,0.28,360.0
1990-01-14,0.0,0.08,0.25,350.0
1990-01-15,4.29,0.05,0.4,355.0
1990-01-16,0.0,-0.01,0.57,370.0
1990-01-17,4.9,0.02,1.14,355.0
1990-01-18,2.5,-0.0,1.04,365.0
1990-01-19,0.0,0.14,0.3,380.0
1990-01-20,0.0,0.02,0.55,395.0
1990-01-21,0.0,0.09,0.23,410.0
1990-01-22,5.79,0.1,0.37,415.0
1990-01-23,0.0,0.07,0.56,410.0
1990-01-24,4.75,0.11,0.87,395.0
1990-01-25,6.98,0.24,0.74,380.0
1990-01-26,6.22,0.27,0.42,420.0
1990-01-27,0.0,0.24,0.52,480.0
1990-01-28,0.0,0.18,0.77,480.0
1990-01-29,7.54,0.18,0.72,475.0
1990-01-30,17.21,0.24,0.44,470.0
1990-01-31,0.0,0.12,0.76,455.0
1990-02-01,0.0,0.14,0.87,445.0
1990-02-02,0.0,0.18,0.43,435.0
1990-02-03,0.33,0.12,0.23,425.0
1990-02-04,0.28,0.13,0.27,415.0
1990-02-05,0.0,0.17,0.58,405.0
1990-02-06,0.1,0.23,0.96,385.0
1990-02-07,0.0,0.26,1.05,375.0
1990-02-08,0.0,0.27,1.06,365.0
1990-02-09,3.58,0.39,1.04,370.0
1990-02-10,17.53,0.4,0.5,405.0
1990-02-11,0.0,0.36,0.45,430.0
1990-02-12,0.0,0.26,0.64,420.0
1990-02-13,3.15,0.23,0.91,405.0
1990-02-14,0.0,0.29,0.61,390.0
1990-02-15,3.02,0.22,0.49,380.0
1990-02-16,9.41,0.29,0.55,375.0
1990-02-17,0.0,0.32,0.4,370.0
1990-02-18,0.0,0.31,0.58,365.0
1990-02-19,2.52,0.41,1.11,360.0
1990-02-20,0.0,0.24,0.28,355.0
1990-02-21,0.95,0.48,1.11,350.0
1990-02-22,6.57,0.51,1.94,355.0
1990-02-23,0.84,0.53,0.62,395.0
1990-02-24,0.0,0.3,0.28,405.0
1990-02-25,0.0,0.32,0.43,390.0
1990-02-26,0.0,0.28,0.38,385.0
1990-02-27,3.36,0.33,0.73,380.0
1990-02-28,0.0,0.4,0.51,370.0
1990-03-01,0.0,0.65,1.09,365.0
1990-03-02,0.0,1.02,1.87,360.0
1990-03-03,0.0,0.66,0.86,345.0
1990-03-04,0.0,0.49,0.53,340.0
1990-03-05,0.0,0.49,0.62,335.0
1990-03-06,0.0,0.51,0.69,330.0
1990-03-07,0.0,0.59,0.79,325.0
1990-03-08,0.0,0.97,1.49,320.0
1990-03-09,0.0,1.23,1.82,320.0
1990-03-10,0.0,1.49,2.32,325.0
1990-03-11,0.0,1.17,1.54,370.0
1990-03-12,0.0,1.3,1.82,420.0
1990-03-13,0.0,1.08,1.23,484.0
1990-03-14,7.24,1.01,1.43,600.0
1990-03-15,0.6,0.92,0.94,750.0
1990-03-16,4.17,1.02,1.13,879.0
1990-03-17,10.01,0.95,0.97,1030.0
1990-03-18,0.38,0.99,0.91,1200.0
1990-03-19,0.0,1.04,0.99,1400.0
1990-03-20,9.09,1.0,1.09,1600.0
1990-03-21,5.28,0.82,0.78,1800.0
1990-03-22,2.41,1.42,1.66,2050.0
1990-03-23,0.4,1.78,1.95,2300.0
1990-03-24,0.0,1.08,1.04,2470.0
1990-03-25,0.0,1.53,1.57,2390.0
1990-03-26,0.15,1.53,1.57,1840.0
1990-03-27,0.0,0.93,0.87,1510.0
1990-03-28,0.01,1.34,1.32,1360.0
1990-03-29,0.0,1.34,1.29,1210.0
1990-03-30,2.78,1.29,1.93,1090.0
1990-03-31,0.29,1.64,1.61,1070.0
1990-04-01,0.16,1.59,1.42,1070.0
1990-04-02,0.06,1.12,0.91,1080.0
1990-04-03,4.13,1.48,1.42,1080.0
1990-04-04,14.58,1.49,1.41,1260.0
1990-04-05,1.12,1.19,0.96,1720.0
1990-04-06,0.0,1.78,1.51,1970.0
1990-04-07,0.0,1.76,1.47,2200.0
1990-04-08,0.0,1.86,1.56,2390.0
1990-04-09,0.97,2.86,2.71,2560.0
1990-04-10,11.61,1.31,1.09,2720.0
